id,L_length,R_length
LMU_00002,5.6449,5.6066
LMU_00003,5.1687,5.1908
LMU_00005,5.9097,5.8647
LMU_00006,5.5158,5.5239
LMU_00007,5.5653,5.5014
LMU_00008,5.375,5.4964
LMU_00009,5.7223,5.6697
LMU_00011,4.9508,4.9738
LMU_00012,5.2741,5.2479
LMU_00014,5.229,5.2096
LMU_00015,5.5595,5.5679
LMU_00016,5.1559,5.1723
LMU_00017,5.1362,5.0774
LMU_00019,5.9055,5.8159
LMU_00028,6.2509,6.0812
LMU_00045,5.8862,5.9387
LMU_00054,5.7198,5.641
LMU_00056,5.0509,5.1534
LMU_00059,5.2951,5.2104
LMU_00102,5.646,5.3328
LMU_00103,5.2039,5.3967
LMU_00104,5.0556,5.264
LMU_00113,5.2959,5.3158
LMU_00114,5.5218,5.6518
LMU_00116,5.5745,5.6216
LMU_00117,5.1065,5.2352
LMU_00120,5.456,5.4104
LMU_00123,5.5004,5.479
LMU_00136,5.2214,5.369
LMU_00139,4.8293,4.9862
LMU_00140,5.3704,5.3411
LMU_00142,5.4781,5.3502
LMU_00143,5.7338,5.7136
LMU_00144,5.4827,5.4874
LMU_00146,5.461,5.4061
LMU_00150,4.9842,5.1039
LMU_00152,5.5308,5.6367
LMU_00153,5.4388,5.4001
LMU_00154,5.6112,5.4796
LMU_00155,5.4637,5.5879
LMU_00156,5.4327,5.4035
LMU_00160,5.5949,5.5416
LMU_00162,5.4949,5.5336
LMU_00167,4.9484,5.1666
LMU_00170,5.2893,5.2507
LMU_00173,5.272,5.1021
LMU_00174,5.5209,5.599
LMU_00175,5.2854,5.2936
LMU_00177,5.027,5.0495
LMU_00185,5.2884,5.2635
LMU_00194,5.1664,5.1748
LMU_00209,5.6696,5.772
LMU_00212,5.2172,5.1052
LMU_00217,5.2231,5.2732
LMU_00218,4.465,4.6736
LMU_00222,5.3318,5.3072
LMU_00274,4.9984,5.1591
LMU_00284,5.6646,5.8271
LMU_00290,5.0088,5.0974
LMU_00292,5.2043,5.5281
LMU_00119,5.208,5.291
LMU_00124,5.675,5.749
LMU_00126,5.493,5.494
LMU_00128,5.207,5.317
LMU_00129,5.589,5.697
LMU_00133,5.128,5.276
LMU_00165,5.437,5.396
LMU_00166,5.497,5.553
LMU_00169,5.34,5.371
LMU_00031,5.342,5.404
LMU_00032,5.378,5.341
LMU_00127,5.284,5.313
LMU_00130,5.67,5.588
LMU_00131,5.366,5.329
LMU_00134,5.552,5.498
LMU_00135,5.565,5.836
LMU_00138,5.675,5.657
LMU_00141,5.626,5.716
LMU_00180,5.11,5.13
LMU_00186,5.154,5.179
LMU_00187,5.114,5.191
CAM025197,5.448,5.429
CAM025230,5.335,5.102
CAM025232,5.277,5.253
CAM025251,5.384,5.371
CAM025264,5.23,5.281
CAM025541,5.645,5.748
CAM025835,5.622,5.417
CAM025997,6.037,6.136
CAM026128,4.885,4.93
CAM026188,5.709,5.637
CAM026224,5.967,5.709
CAM026281,5.563,5.552
CAM026399,5.028,5.059
CAM026609,4.714,4.879
CAM025972,4.603,4.549
CAM025988,5.328,5.22
CAM026007,5.372,5.376
CAM026037,4.939,4.752
CAM026282,5.406,5.4
CAM026309,5.558,5.407
CAM026398,5.063,5.101
CAM026603,5.41,5.422